ctrhp_1	ctrhp_2	ctrhp_3	CLKhp_1	CLKhp_2	CLKhp_3
chr1_101203880_101204966	52	85	81	92	60	62
chr1_101235572_101237554	56	103	100	103	67	73
chr1_101238729_101238982	13	13	10	14	10	16
chr1_101309313_101309908	25	46	28	38	23	29
chr1_101315883_101316662	27	42	44	36	31	31
chr1_101339304_101340458	86	144	109	109	77	79
chr1_101357220_101357844	18	47	27	28	27	33
chr1_101520326_101520791	14	15	15	22	16	15
chr1_101996627_101997416	20	48	42	39	21	42
chr1_102800291_102800878	23	48	34	35	27	31
chr1_102852627_102853238	16	26	28	27	23	18
chr1_102863732_102864360	8	29	15	29	25	17
chr1_102882778_102883336	19	40	36	30	31	27
chr1_103106394_103107201	21	35	37	49	22	28
chr1_103108114_103109890	78	162	124	126	87	102
chr1_103525077_103526756	80	168	144	157	97	112
chr1_104294122_104294810	20	32	22	23	18	18
chr1_104475276_104475848	17	18	28	23	17	19
chr1_104648047_104648796	41	87	54	72	48	37
chr1_105368466_105369044	12	33	25	27	18	22
chr1_105418783_105419734	28	58	53	41	43	47
chr1_106055822_106056391	10	37	30	37	20	22
chr1_106721724_106722131	9	24	23	20	15	19
chr1_106746432_106747443	52	87	83	86	73	79
chr1_107056325_107058054	127	260	178	199	136	170
chr1_107141094_107141869	27	48	38	50	26	28
chr1_107175331_107175908	11	28	24	35	23	29
chr1_107434149_107434710	11	42	27	28	19	22
chr1_107529550_107529928	18	20	27	26	26	17
chr1_107555575_107556173	26	48	43	38	22	32
chr1_107626010_107626730	26	44	39	40	35	36
chr1_107670097_107670426	8	24	14	28	15	19
chr1_107754455_107756028	50	77	65	95	45	58
chr1_107867536_107868078	21	23	13	20	17	23
chr1_107936420_107936912	10	34	26	38	22	15
chr1_107937227_107937851	13	20	24	34	19	22
chr1_107964371_107966091	59	143	97	134	83	82
chr1_107993704_107994357	25	40	47	46	20	40
chr1_108049404_108049856	19	42	36	39	24	36
chr1_108051483_108052029	13	22	19	24	21	24
chr1_108070495_108071573	40	80	74	72	50	54
chr1_108081975_108082383	14	18	14	13	16	14
chr1_108125400_108126016	20	44	38	38	29	24
chr1_108199253_108201077	105	192	165	183	107	140
chr1_108559544_108561192	88	169	93	112	85	107
chr1_108629048_108629434	12	35	25	25	19	15
chr1_108691715_108693338	81	165	138	152	94	107
chr1_108740794_108741319	9	27	21	27	18	25
chr1_108746170_108747740	107	164	149	161	117	114
chr1_108816137_108817390	61	111	83	93	70	73
chr1_108876484_108877502	62	141	109	118	72	84
chr1_108962912_108963746	54	90	81	88	53	53
chr1_108972967_108973385	14	33	26	29	17	19
chr1_109041077_109042493	62	151	106	130	97	83
chr1_109075692_109076497	49	93	77	76	55	66
chr1_109083859_109084329	22	29	27	36	29	22
chr1_109088933_109089767	33	68	62	39	28	30
chr1_109090321_109091262	42	73	65	68	46	60
chr1_109099824_109101089	54	121	83	92	53	57
chr1_109112116_109113163	54	90	64	74	45	56
chr1_109133673_109134078	7	24	18	13	16	13
chr1_109213433_109214654	50	103	80	100	74	70
chr1_109225307_109225913	18	34	37	27	23	28
chr1_109229513_109230296	49	108	86	102	51	63
chr1_109240416_109241114	29	52	39	46	21	26
chr1_109242307_109242898	13	31	28	25	18	20
chr1_109249322_109250272	38	69	68	64	50	46
chr1_109253257_109254452	35	55	48	66	37	43
chr1_109255245_109255664	17	30	18	26	15	15
chr1_109282658_109283881	80	142	112	126	102	106
chr1_109283930_109285747	60	123	124	91	75	74
chr1_109397287_109398653	87	164	140	152	106	128
chr1_109426125_109427041	78	148	115	124	89	94
chr1_109483025_109484535	89	172	149	151	97	121
chr1_109493849_109494440	33	69	58	63	39	49
chr1_109499598_109499912	18	19	22	14	6	15
chr1_109509158_109510109	29	66	47	47	29	33
chr1_109521424_109521786	10	24	22	24	14	15
chr1_109535915_109536751	44	64	65	39	33	42
chr1_109546148_109546656	12	27	21	26	20	17
chr1_109548232_109548935	40	85	63	72	55	46
chr1_109579510_109579912	13	22	16	13	15	26
chr1_109620394_109621812	77	134	105	134	89	87
chr1_109632455_109633199	33	81	49	68	33	53
chr1_109655724_109656430	26	41	36	34	23	25
chr1_109667813_109668358	32	61	56	44	24	29
chr1_109739694_109740768	61	119	84	112	66	83
chr1_109773549_109774056	12	24	22	24	14	9
chr1_109792168_109792530	10	22	20	21	18	13
chr1_109793600_109794527	25	59	50	52	31	43
chr1_109815858_109816736	21	37	32	32	25	27
chr1_109877295_109877820	10	24	23	34	23	26
chr1_109910479_109911462	26	55	41	49	31	18
chr1_109984125_109985289	86	138	133	142	97	99
chr1_110034202_110035384	64	120	102	124	65	82
chr1_110150402_110150771	9	18	15	20	13	13
chr1_110170877_110171595	13	37	22	24	20	26
chr1_110176259_110176611	14	20	21	18	8	17
chr1_110190218_110190735	16	25	14	21	17	11
chr1_110207818_110208195	12	20	21	19	13	15
chr1_110209926_110211088	38	85	70	63	53	52
chr1_110255424_110255800	14	36	26	21	11	13
chr1_110337704_110340227	259	464	391	440	316	327
chr1_110407282_110407922	31	47	51	56	38	38
chr1_110460302_110460574	15	20	21	23	16	9
chr1_110494753_110495309	19	37	39	39	18	23
chr1_110496025_110496305	15	25	20	23	15	10
chr1_110524535_110524781	6	18	13	14	11	11
chr1_110537797_110538688	49	93	76	68	51	62
chr1_110538878_110539443	5	25	26	32	17	25
chr1_110556013_110557059	34	68	50	63	48	33
chr1_110565400_110565935	13	43	30	21	12	17
chr1_110581584_110583037	82	94	92	83	65	60
chr1_110605975_110607693	82	149	147	142	86	104
chr1_110619374_110619715	22	26	14	22	11	14
chr1_110634272_110635127	37	63	68	66	38	49
chr1_110672024_110672357	13	25	30	32	20	21
chr1_110674244_110675372	67	116	92	89	71	66
chr1_110714350_110714950	13	43	23	25	21	22
chr1_110733955_110734829	42	89	78	71	50	49
chr1_110756490_110756846	22	37	34	21	18	20
chr1_110760376_110760839	12	40	25	31	23	20
chr1_110815010_110815705	11	24	23	33	24	24
chr1_110963184_110964591	134	235	212	209	151	164
chr1_111139322_111140953	78	185	129	164	108	113
chr1_111275154_111275479	7	22	12	13	12	15
chr1_111346073_111346910	45	88	72	89	38	67
chr1_111406232_111406767	25	61	48	41	32	25
chr1_111448735_111449795	73	138	97	117	73	89
chr1_111508245_111508575	13	30	18	21	13	16
chr1_111509770_111510715	28	78	57	56	48	56
chr1_111571977_111572369	8	30	27	26	17	17
chr1_111605647_111606142	11	31	25	27	17	14
chr1_111611996_111612407	7	19	19	22	14	19
chr1_111619376_111620480	41	107	92	90	69	54
chr1_111733488_111734258	20	49	51	52	32	21
chr1_111735774_111736530	26	59	40	56	47	45
chr1_111736713_111737872	42	95	76	82	55	61
chr1_111738325_111740795	167	327	255	270	193	201
chr1_111755037_111756572	88	194	147	145	92	120
chr1_111781561_111782048	13	37	22	33	21	22
chr1_111791308_111792073	39	69	49	49	32	29
chr1_111852262_111853051	24	58	36	46	26	33
chr1_111856537_111857887	46	89	86	66	42	61
chr1_111873523_111874103	10	42	20	30	22	18
chr1_111880688_111881689	43	73	66	69	44	45
chr1_111892230_111892645	17	23	17	14	14	19
chr1_111904348_111905323	32	69	47	57	45	44
chr1_111908928_111909633	37	75	49	58	29	46
chr1_111910928_111911531	22	22	25	24	15	14
chr1_111920073_111920932	37	51	47	58	44	42
chr1_111935266_111935796	14	34	23	19	19	20
chr1_111943743_111944370	22	48	32	36	25	29
chr1_111948049_111949184	43	104	68	73	57	41
chr1_111969533_111969983	17	33	26	24	13	21
chr1_111988739_111990448	65	151	96	119	79	71
chr1_111990452_111991873	38	79	59	56	49	35
chr1_112027603_112028291	47	96	76	84	49	52
chr1_112144712_112145309	20	34	32	32	17	19
chr1_112298038_112298571	22	31	25	32	12	20
chr1_112325476_112325975	10	33	25	24	18	15
chr1_112390846_112391161	14	22	15	19	7	13
chr1_112395717_112396931	87	182	154	153	110	105
chr1_112466032_112466473	18	32	23	25	20	18
chr1_112501910_112502528	19	35	30	32	20	19
chr1_112508397_112509076	23	36	27	23	18	24
chr1_112618867_112620276	71	119	81	103	70	63
chr1_112674462_112675750	54	83	62	74	43	52
chr1_112706621_112707782	38	77	62	78	54	46
chr1_112714675_112716763	87	156	105	123	80	73
chr1_112955275_112957194	115	227	165	203	137	148
chr1_113072590_113073820	89	173	147	140	120	116
chr1_113207442_113207856	17	40	16	22	20	16
chr1_113298616_113299147	21	28	20	23	14	16
chr1_113302449_113303287	31	51	47	49	39	42
chr1_113389636_113391387	170	305	254	272	193	203
chr1_113538052_113538726	20	40	38	27	32	30
chr1_113615914_113616839	44	100	68	84	51	53
chr1_113758641_113760048	59	103	84	104	62	62
chr1_113811368_113813224	160	254	230	253	166	187
chr1_113904210_113905789	150	248	193	219	150	174
chr1_113928789_113930525	112	223	180	190	152	157
chr1_114152535_114152984	11	30	19	19	15	13
chr1_114154323_114155015	15	33	25	23	24	21
chr1_114282876_114283122	6	20	15	18	10	10
chr1_114346153_114347036	60	97	87	88	66	76
chr1_114352914_114353632	24	53	47	34	24	36
chr1_114510264_114512084	131	261	204	223	157	172
chr1_114557848_114558403	11	40	22	35	35	17
chr1_114581204_114582268	91	127	122	132	78	105
chr1_114669589_114670643	32	65	48	58	32	47
chr1_114716354_114717137	32	65	54	58	36	53
chr1_114756961_114758522	111	225	180	207	127	139
chr1_114780176_114781068	65	110	74	98	59	81
chr1_115138963_115139312	19	18	16	18	9	23
chr1_115479019_115479660	16	38	31	32	24	16
chr1_115595533_115596175	30	56	47	68	46	38
chr1_115641607_115643939	87	154	135	161	106	96
chr1_115677207_115677518	15	21	24	20	18	9
chr1_115706620_115707071	24	20	19	26	12	25
chr1_115727873_115728290	11	19	17	25	15	14
chr1_115771824_115772227	13	29	34	25	24	33
chr1_115929855_115930402	9	34	13	23	22	21
chr1_115976018_115976853	14	44	31	30	19	27
chr1_116002191_116003554	54	95	80	108	62	87
chr1_116033293_116033577	6	18	15	15	9	12
chr1_116138873_116139564	19	44	27	38	29	27
chr1_116151922_116152556	16	31	29	35	20	25
chr1_116217231_116217736	25	46	25	35	11	16
chr1_116311648_116312273	14	22	26	31	17	32
chr1_116345836_116346256	11	22	21	29	13	14
chr1_116372440_116374570	125	225	220	207	155	162
chr1_116377608_116378129	18	28	28	23	18	26
chr1_116418223_116419029	34	74	77	67	53	49
chr1_116433113_116433937	29	62	53	57	30	42
chr1_116485150_116485549	14	30	24	35	14	15
chr1_116498876_116499382	11	30	20	30	20	21
chr1_116570122_116571251	65	99	89	111	73	69
chr1_116590612_116591892	40	82	76	85	54	58
chr1_116617828_116618129	6	19	14	15	9	10
chr1_116666851_116668158	51	101	61	88	59	69
chr1_116690876_116691687	53	104	99	81	67	71
chr1_116711283_116711932	28	50	30	36	22	25
chr1_116855304_116856266	25	48	32	46	30	33
chr1_116877930_116878715	25	46	31	36	31	30
chr1_116879101_116879687	15	23	31	22	19	16
chr1_116909401_116910807	53	135	93	96	77	63
chr1_116915134_116915870	34	61	49	53	44	49
chr1_116916780_116917223	11	20	17	10	17	18
chr1_116950816_116951479	19	28	19	26	17	17
chr1_117017124_117017651	16	31	26	15	28	20
chr1_117059454_117060932	111	212	193	211	134	162
chr1_117067664_117068096	11	30	23	28	15	17
chr1_117120987_117122563	132	235	169	217	172	173
chr1_117231938_117232455	24	28	25	31	21	31
chr1_117366142_117367995	103	229	176	210	149	123
chr1_117470354_117471054	21	49	46	46	36	42
chr1_117605180_117606769	93	167	144	170	91	111
chr1_117758509_117759274	28	49	34	38	31	34
chr1_117852824_117853492	28	46	42	37	31	29
chr1_117928849_117930311	124	215	171	194	134	158
chr1_117967611_117968361	17	30	23	22	19	21
chr1_117970256_117970602	14	36	21	23	12	15
chr1_118294938_118295423	14	29	29	22	11	19
chr1_118987327_118988164	15	48	28	32	24	27
chr1_119042458_119042981	12	21	18	29	21	20
chr1_119087813_119088420	13	13	16	27	21	22
chr1_119115380_119115782	12	21	17	20	22	19
chr1_119139574_119141391	144	266	251	258	180	185
chr1_119280072_119280450	16	33	28	24	8	27
chr1_119553984_119554800	35	69	58	62	28	31
chr1_119631504_119632035	19	35	28	32	16	15
chr1_119647156_119648874	152	316	246	260	185	196
chr1_119711711_119713379	84	143	103	119	81	77
chr1_119713857_119714417	21	32	29	32	25	19
chr1_119737334_119737917	10	24	12	24	14	20
chr1_119964813_119965400	18	36	31	32	27	27
chr1_120015020_120015357	13	31	22	27	25	15
chr1_120068836_120069878	33	76	50	58	44	27
chr1_120101399_120102128	23	51	38	33	21	26
chr1_120176176_120176778	19	45	40	43	33	25
chr1_120179966_120180475	19	19	26	22	14	22
chr1_120232727_120233185	35	60	56	47	31	36
chr1_120243950_120244383	26	53	42	46	36	40
chr1_120340889_120341150	7	16	12	15	9	13
chr1_120414658_120415723	52	89	76	70	48	60
chr1_120544505_120544765	11	24	11	11	5	10
chr1_120557553_120559140	105	199	168	189	118	122
chr1_120653757_120654501	42	75	70	81	58	60
chr1_120665257_120665636	19	50	37	37	27	33
chr1_120981517_120982141	16	33	21	32	24	33
chr1_121096870_121098012	60	105	123	118	94	73
chr1_121116866_121117688	33	64	67	69	38	45
chr1_121148603_121149034	7	17	14	18	16	14
chr1_121184369_121185482	185	276	256	295	196	237
chr1_121186434_121186718	7	15	10	15	10	18
chr1_121242129_121242474	11	15	13	18	9	20
chr1_121280942_121281308	15	17	16	24	12	12
chr1_121293289_121294274	30	65	41	57	59	44
chr1_121315583_121316860	53	122	116	87	48	62
chr1_121381080_121381486	12	24	17	25	9	13
chr1_121396610_121397106	12	22	24	21	15	17
chr1_121519009_121519969	36	74	62	70	48	46
chr1_123040769_123041014	17	14	23	25	23	15
chr1_123146857_123147074	9	12	10	11	9	9
chr1_123195611_123195868	32	35	34	32	26	30
chr1_123720028_123720267	14	16	11	20	18	16
chr1_124420952_124421180	15	14	12	13	14	11
chr1_124562329_124562565	19	15	10	20	17	14
chr1_124568458_124568703	11	20	15	21	22	12
chr1_124570149_124570378	15	16	14	12	13	13
chr1_125173792_125174265	32	44	37	31	29	27
chr1_125176877_125177486	85	94	78	83	78	64
chr1_125177972_125179101	80	76	87	71	78	56
chr1_125179237_125179606	134	141	130	127	130	121
chr1_125179817_125180354	160	156	148	153	159	145
chr1_125181122_125181776	56	70	65	68	80	53
chr1_125181899_125182189	10	15	17	15	8	11
chr1_125183593_125184569	146	139	116	133	132	111
chr1_143184557_143185530	99	102	110	113	110	87
chr1_143185600_143186344	29	43	42	28	35	28
chr1_143186653_143187198	27	25	21	22	24	21
chr1_143189862_143190207	19	11	17	19	21	15
chr1_143191504_143191779	13	17	15	18	23	16
chr1_143192062_143192276	10	8	9	12	14	10
chr1_143192654_143192965	51	49	47	54	56	45
chr1_143193279_143194148	63	65	57	67	54	56
chr1_143195323_143195648	13	14	21	16	12	13
chr1_143201117_143201356	12	12	18	21	15	14
chr1_143203480_143203942	29	33	23	22	14	16
chr1_143205965_143206814	89	92	91	95	97	74
chr1_143210826_143211083	13	13	15	14	14	14
chr1_143212545_143213173	36	28	29	36	41	22
chr1_143213219_143214329	93	93	83	84	85	64
chr1_143214611_143215177	151	153	150	161	154	122
chr1_143215656_143217167	178	172	180	189	172	140
chr1_143217242_143218262	81	84	94	102	82	75
chr1_143218997_143219718	44	52	50	46	42	30
chr1_143220188_143220927	33	49	49	53	50	34
chr1_143221576_143222960	143	146	133	153	133	111
chr1_143223166_143223499	23	26	23	20	28	18
chr1_143229933_143230271	14	11	11	10	12	11
chr1_143231374_143232028	32	51	29	32	35	22
chr1_143232201_143232884	24	36	28	31	26	17
chr1_143234194_143234694	22	23	25	22	24	12
chr1_143236701_143237348	44	51	53	37	50	45
chr1_143237640_143238261	62	59	71	76	55	55
chr1_143238577_143238934	16	19	15	15	14	16
chr1_143239151_143239537	13	19	16	12	21	13
chr1_143239643_143240180	22	20	27	27	24	23
chr1_143240253_143240883	35	35	42	47	44	26
chr1_143244879_143245110	19	15	15	18	18	15
chr1_143245517_143245959	25	17	18	25	22	13
chr1_143246808_143247238	38	53	36	38	41	43
chr1_143248127_143248333	6	11	12	9	12	12
chr1_143248752_143249098	21	16	15	17	16	10
chr1_143249494_143250066	48	41	45	51	50	43
chr1_143251654_143251933	22	25	14	16	17	15
chr1_143252805_143253319	33	25	22	30	30	21
chr1_143253885_143254642	132	129	135	142	138	120
chr1_143254938_143255234	16	17	11	13	7	15
chr1_143255519_143255791	23	20	21	21	26	21
chr1_143255960_143256681	35	27	30	27	36	22
chr1_143263160_143263621	41	45	48	39	43	35
chr1_143264107_143266622	290	274	273	289	269	226
chr1_143266943_143267169	15	17	20	14	16	8
chr1_143267300_143267711	40	41	50	45	62	36
chr1_143334450_143334761	17	20	18	25	10	19
chr1_143498342_143498815	11	27	23	22	10	16
chr1_143729702_143730073	14	30	27	36	17	20
chr1_143884351_143885458	53	97	96	107	59	91
chr1_143903962_143904959	42	78	58	74	59	43
chr1_143972021_143973147	196	338	285	321	225	250
chr1_144029817_144030114	6	20	17	15	12	14
chr1_144077224_144077725	18	35	26	37	19	22
chr1_144460835_144461843	35	74	79	66	42	44
chr1_144546458_144547090	49	84	70	91	63	62
chr1_144560794_144561333	16	29	27	41	23	25
chr1_144898542_144898932	4	20	16	18	15	11
chr1_144917653_144918008	7	14	12	14	19	15
chr1_144963252_144964451	61	127	84	102	62	59
chr1_144985782_144986694	27	66	46	54	41	43
chr1_145047865_145048471	12	42	27	33	25	28
chr1_145094820_145095967	239	361	337	346	260	295
chr1_145214899_145215406	15	38	22	38	16	21
chr1_145232831_145233097	7	18	15	13	10	9
chr1_145280617_145280971	13	26	22	21	15	15
chr1_145425212_145426034	34	73	69	81	56	51
chr1_145607423_145608821	85	155	112	125	79	88
chr1_145823601_145824594	60	123	102	118	79	79
chr1_145858685_145860187	78	139	106	136	77	96
chr1_145885606_145886358	35	63	56	66	38	48
chr1_145891698_145892338	15	36	32	34	21	19
chr1_145918589_145919311	26	65	54	66	42	37
chr1_145927087_145927938	59	106	87	96	70	77
chr1_145957233_145958487	94	175	143	183	101	107
chr1_145960268_145960999	34	69	46	51	35	35
chr1_145964259_145964996	47	82	73	82	54	69
chr1_145979382_145979840	16	44	40	31	21	30
chr1_145996456_145997407	64	106	83	113	57	67
chr1_146035419_146036315	24	58	48	58	44	48
chr1_146036842_146038411	52	103	75	103	59	77
chr1_146038495_146039628	24	48	48	56	30	38
chr1_146051782_146052765	42	74	63	64	45	50
chr1_146174371_146174847	20	28	29	28	20	24
chr1_146228022_146228561	12	24	19	27	21	18
chr1_146228632_146229250	17	47	26	32	31	28
chr1_146262500_146262956	16	22	22	23	20	19
chr1_146297706_146298453	28	56	55	47	34	33
chr1_146298504_146298832	17	41	29	24	18	16
chr1_146375886_146377849	79	178	155	179	120	134
chr1_146386594_146387745	65	129	101	112	74	69
chr1_146472333_146472859	26	51	41	45	27	40
chr1_146513561_146514100	12	34	28	26	14	16
chr1_146756808_146757260	26	52	33	40	20	25
chr1_146792799_146793198	14	26	20	22	16	20
chr1_146938156_146939189	38	90	56	59	33	46
chr1_147084677_147085326	13	31	29	39	21	15
chr1_147171503_147173256	121	216	178	197	138	127
chr1_147242257_147243781	102	174	133	148	127	127
chr1_147351139_147351745	22	37	34	21	17	23
chr1_147504579_147505311	24	47	30	43	24	19
chr1_147539963_147542746	93	186	153	189	90	121
chr1_147598605_147600738	148	278	223	248	165	181
chr1_147669777_147670898	49	102	86	103	67	73
chr1_147699984_147700570	21	30	24	33	23	22
chr1_147890846_147891413	20	29	24	24	25	20
chr1_147892788_147893765	42	48	41	40	32	29
chr1_147927901_147929173	81	160	139	144	93	116
chr1_148151189_148152462	85	146	114	125	89	90
chr1_148219228_148219701	10	36	23	27	15	15
chr1_148334625_148335521	25	51	32	39	30	25
chr1_148402184_148402781	26	50	40	36	26	29
chr1_148432822_148433395	15	28	29	27	19	24
chr1_148458830_148459602	30	51	33	25	21	19
chr1_148522126_148522478	10	14	12	20	7	12
chr1_148625352_148625736	13	19	28	18	9	10
chr1_148678725_148679090	11	23	10	20	15	14
chr1_148679373_148680033	25	35	40	36	26	40
chr1_148713354_148713854	15	28	22	20	19	14
chr1_148748493_148749608	43	84	66	69	41	45
chr1_148843976_148844885	25	61	30	48	29	36
chr1_148855428_148856009	52	89	77	97	57	70
chr1_148951638_148953522	124	237	193	197	144	152
chr1_148956550_148957093	13	27	17	26	19	17
chr1_149102935_149103727	40	84	61	83	54	52
chr1_149274193_149274821	37	73	68	83	55	60
chr1_149285280_149286019	12	37	28	36	17	16
chr1_149390270_149391141	37	59	46	60	40	41
chr1_149445500_149445897	16	39	22	27	19	19
chr1_149607797_149608262	22	35	26	30	34	27
chr1_149636088_149637071	52	76	69	92	48	44
chr1_149792311_149793486	63	94	91	107	68	72
chr1_149811749_149812676	48	91	75	105	59	64
chr1_149813046_149813866	33	51	30	56	44	33
chr1_149831478_149833433	82	147	114	141	89	90
chr1_149840500_149841436	20	42	27	40	22	32
chr1_149841512_149842044	16	25	16	23	15	16
chr1_149842052_149843801	94	126	125	129	65	89
chr1_149850005_149851620	64	146	125	143	66	80
chr1_149851824_149852988	42	52	37	45	34	35
chr1_149860386_149862011	86	136	103	138	82	93
chr1_149885325_149887278	94	198	149	154	122	111
chr1_149887340_149888752	65	140	103	124	68	91
chr1_149899394_149899984	27	44	42	34	23	22
chr1_149917536_149918290	23	50	35	49	33	33
chr1_149927483_149928502	53	98	79	74	61	62
chr1_150010395_150011091	25	38	26	36	33	22
chr1_150066880_150068095	46	139	81	114	77	80
chr1_150149409_150150784	60	129	107	118	75	71
chr1_150162791_150163637	30	48	34	40	31	27
chr1_150182292_150182698	14	26	19	24	15	14
chr1_150234488_150236647	85	135	138	174	102	104
chr1_150268608_150269393	42	75	59	68	49	54
chr1_150281602_150283070	76	153	108	183	134	127
chr1_150293547_150294187	10	40	32	34	17	28
chr1_150321107_150321783	34	63	40	52	34	28
chr1_150363345_150365085	117	193	150	189	122	142
chr1_150486991_150487798	34	83	61	71	56	38
chr1_150515105_150516517	61	117	115	119	72	91
chr1_150548788_150549296	17	29	16	30	16	17
chr1_150560771_150562463	65	141	97	96	75	79
chr1_150578557_150580295	69	152	134	165	91	116
chr1_150629005_150630126	132	227	184	222	160	175
chr1_150697056_150697660	62	119	96	98	79	76
chr1_150876297_150877204	57	119	78	117	86	70
chr1_150925874_150926719	31	51	54	65	35	29
chr1_150973855_150975497	65	119	77	105	68	64
chr1_151006556_151007051	14	33	25	37	22	24
chr1_151008116_151008709	18	38	24	37	20	20
chr1_151047435_151048768	35	83	62	69	45	42
chr1_151059258_151060731	73	141	105	127	81	93
chr1_151071848_151072566	23	43	32	53	40	37
chr1_151145518_151147144	64	126	98	105	67	81
chr1_151165074_151166497	54	89	93	122	69	71
chr1_151175034_151175498	23	50	38	39	24	21
chr1_151189626_151190435	37	63	56	55	44	40
chr1_151198147_151199169	45	68	53	68	69	61
chr1_151254439_151255096	32	55	43	61	35	35
chr1_151280850_151283155	175	331	267	307	235	211
chr1_151300980_151301363	10	18	14	25	14	17
chr1_151327213_151328095	41	93	64	71	65	58
chr1_151346844_151347810	65	123	108	110	67	91
chr1_151399111_151399856	24	52	41	44	33	39
chr1_151457764_151459899	76	148	110	152	89	108
chr1_151510843_151511993	48	122	102	104	69	70
chr1_151540003_151540714	31	70	49	71	45	49
chr1_151611759_151612832	60	118	100	110	81	76
chr1_151710138_151710547	15	29	18	29	19	16
chr1_151716743_151717196	24	46	45	60	30	36
chr1_151721242_151721873	15	32	23	28	22	17
chr1_151728120_151728727	33	84	66	68	43	28
chr1_151734972_151735386	15	23	15	24	10	16
chr1_151762983_151764078	26	80	44	66	43	45
chr1_151790012_151791578	126	237	226	220	156	168
chr1_151832544_151833059	11	33	20	25	16	18
chr1_151909150_151909962	37	73	49	73	51	64
chr1_151993388_151994123	28	36	31	42	26	19
chr1_152047805_152048622	25	58	43	61	39	61
chr1_152052616_152052881	10	15	17	17	8	19
chr1_152110318_152112539	93	182	120	141	93	119
chr1_152215627_152216248	25	23	27	26	25	16
chr1_153261353_153261983	21	32	32	32	18	20
chr1_153598757_153599179	13	22	19	26	6	19
chr1_153633671_153634604	44	94	78	72	76	60
chr1_153649547_153650434	22	42	33	26	20	24
chr1_153658329_153659193	47	93	81	82	59	61
chr1_153670736_153672076	109	165	139	187	137	146
chr1_153678557_153679639	27	38	24	41	13	24
chr1_153727254_153728216	112	163	134	150	101	114
chr1_153749464_153749721	9	21	6	16	10	11
chr1_153775104_153776325	26	67	60	61	40	43
chr1_153783284_153784152	47	106	80	82	75	66
chr1_153880476_153881463	58	104	84	84	77	72
chr1_153881481_153882526	41	86	77	72	46	47
chr1_153922184_153923773	98	171	163	186	126	109
chr1_153945655_153946995	49	86	67	104	55	57
chr1_153957934_153959174	79	170	131	152	99	116
chr1_153963057_153964125	49	110	95	100	60	62
chr1_153967092_153968247	83	120	114	105	68	81
chr1_153977090_153978169	37	80	70	65	54	36
chr1_153985943_153987237	24	65	50	64	32	31
chr1_153990476_153991089	24	67	51	56	31	51
chr1_154182239_154183595	45	88	87	98	53	61
chr1_154220091_154221951	126	215	161	184	141	137
chr1_154272020_154272739	25	43	45	43	36	36
chr1_154324493_154326136	60	97	96	113	71	55
chr1_154328365_154328841	15	32	31	28	16	22
chr1_154558118_154559991	86	156	149	157	98	132
chr1_154567471_154568202	34	60	43	45	43	35
chr1_154574583_154575075	22	41	21	36	30	27
chr1_154607666_154608446	23	28	28	34	26	20
chr1_154608466_154608870	9	27	14	20	11	16
chr1_154627377_154628307	28	47	49	38	30	25
chr1_154663660_154664073	8	31	23	25	20	23
chr1_154775601_154776227	27	35	29	26	25	23
chr1_154847762_154848424	25	55	37	42	32	29
chr1_154869928_154870820	60	122	93	103	70	74
chr1_154896716_154897302	20	26	21	29	20	35
chr1_154936340_154937864	85	145	100	127	97	103
chr1_154961382_154962234	25	71	54	54	35	51
chr1_154970641_154971098	22	41	23	27	18	26
chr1_154973741_154975569	130	196	175	181	128	163
chr1_154982845_154983525	55	97	73	94	62	66
chr1_155000667_155002384	44	102	77	103	76	59
chr1_155017262_155017805	18	18	28	18	12	9
chr1_155050470_155052165	52	87	89	90	57	55
chr1_155063793_155064113	18	27	22	22	16	16
chr1_155080720_155081356	19	26	32	20	22	19
chr1_155084378_155085636	68	151	124	145	102	102
chr1_155093816_155094396	34	36	22	38	21	27
chr1_155127226_155128209	27	68	43	41	32	24
chr1_155134903_155136515	56	101	89	127	79	66
chr1_155140000_155140767	33	51	44	40	17	35
chr1_155172540_155173662	41	84	65	73	61	62
chr1_155194330_155195399	69	133	107	120	89	78
chr1_155196167_155196735	28	45	44	37	20	35
chr1_155207319_155209620	71	124	103	96	83	72
chr1_155226631_155228144	73	139	127	130	113	100
chr1_155243810_155245488	72	166	138	154	102	129
chr1_155250701_155251072	17	28	20	32	13	15
chr1_155254654_155255999	53	95	70	90	57	68
chr1_155261854_155262776	48	90	79	84	65	60
chr1_155273067_155273931	42	91	64	75	54	56
chr1_155276916_155278086	55	111	73	81	68	64
chr1_155308288_155309354	73	146	111	138	104	100
chr1_155322987_155323582	28	41	46	48	24	31
chr1_155323688_155324897	64	107	97	107	65	63
chr1_155561766_155563542	82	152	147	168	112	100
chr1_155595759_155596744	39	69	65	72	67	57
chr1_155609623_155610566	78	140	108	135	94	90
chr1_155648541_155648851	10	16	11	18	12	15
chr1_155687754_155689420	81	144	138	142	103	103
chr1_155715562_155716171	18	32	23	31	22	16
chr1_155718544_155719207	16	35	38	39	24	21
chr1_155745195_155746311	95	131	120	129	93	101
chr1_155856942_155857584	25	49	42	41	30	38
chr1_155859107_155861073	90	149	130	147	106	106
chr1_155871208_155871908	34	55	61	50	41	41
chr1_155911165_155911632	18	25	21	22	16	19
chr1_155934117_155934820	41	90	63	95	48	51
